idhm,ano,uf
0.824,2010,DF
0.783,2010,SP
0.774,2010,SC
0.761,2010,RJ
0.749,2010,PR
0.746,2010,RS
0.74,2010,ES
0.735,2010,GO
0.731,2010,MG
0.729,2010,MS
0.725,2010,MT
0.708,2010,AP
0.707,2010,RR
0.699,2010,TO
0.69,2010,RO
0.684,2010,RN
0.682,2010,CE
0.674,2010,AM
0.673,2010,PE
0.665,2010,SE
0.663,2010,AC
0.66,2010,BA
0.658,2010,PB
0.646,2010,PI
0.646,2010,PA
0.639,2010,MA
0.631,2010,AL
0.854,2016,DF
0.831,2016,SP
0.805,2016,SC
0.794,2016,RJ
0.792,2016,PR
0.783,2016,RS
0.781,2016,MG
0.772,2016,MT
0.77,2016,ES
0.768,2016,GO
0.763,2016,MS
0.758,2016,RR
0.738,2016,AP
0.737,2016,TO
0.736,2016,RN
0.73,2016,PE
0.729,2016,AC
0.726,2016,CE
0.718,2016,RO
0.716,2016,AM
0.709,2016,BA
0.709,2016,PB
0.7,2016,SE
0.693,2016,PA
0.69,2016,PI
0.683,2016,AL
0.682,2016,MA
0.85,2017,DF
0.826,2017,SP
0.808,2017,SC
0.796,2017,RJ
0.792,2017,PR
0.787,2017,MG
0.787,2017,RS
0.774,2017,MT
0.772,2017,ES
0.769,2017,GO
0.766,2017,MS
0.752,2017,RR
0.743,2017,TO
0.74,2017,AP
0.735,2017,CE
0.733,2017,AM
0.731,2017,RN
0.727,2017,PE
0.725,2017,RO
0.722,2017,PB
0.719,2017,AC
0.714,2017,BA
0.702,2017,SE
0.698,2017,PA
0.697,2017,PI
0.687,2017,MA
0.683,2017,AL
